答题序号,Q1_假设您参与一个相亲活动，下面的”一“为15位女嘉宾，请按好感度从高到低排序：,Q2_对于最喜欢的”一“，为何喜欢？,Q3_对于最讨厌的”一“，为何讨厌？,开始时间,提交时间,答题时长
19,第1位:I|第10位:M|第11位:K|第12位:G|第13位:J|第14位:E|第15位:N|第2位:B|第3位:H|第4位:D|第5位:C|第6位:O|第7位:L|第8位:F|第9位:A,潇洒飘逸,缺乏整体感,2022-04-26 13:35:24,2022-04-26 13:42:17,06分53秒
20,第1位:C|第10位:D|第11位:E|第12位:B|第13位:J|第14位:L|第15位:G|第2位:H|第3位:M|第4位:K|第5位:O|第6位:F|第7位:A|第8位:I|第9位:N,规整，有力度且带有感情,较为不规整，不怎么能感受到美感,2022-04-26 13:40:07,2022-04-26 13:42:56,02分49秒
21,第1位:H|第10位:C|第11位:A|第12位:I|第13位:G|第14位:F|第15位:M|第2位:K|第3位:N|第4位:D|第5位:B|第6位:L|第7位:E|第8位:J|第9位:O,笔画匀称，曲线优美,下笔的结构有种失衡的感觉,2022-04-26 13:43:24,2022-04-26 13:45:29,02分05秒
22,第1位:H|第10位:I|第11位:J|第12位:E|第13位:G|第14位:D|第15位:N|第2位:F|第3位:B|第4位:O|第5位:C|第6位:A|第7位:K|第8位:M|第9位:L,十分的规整，不胖不瘦，比例均匀,比例严重失衡，前半过重，后半过虚,2022-04-26 13:39:43,2022-04-26 13:45:58,06分15秒
23,第1位:H|第10位:F|第11位:N|第12位:C|第13位:D|第14位:E|第15位:G|第2位:K|第3位:B|第4位:O|第5位:M|第6位:A|第7位:L|第8位:J|第9位:I,流畅，圆润，自然,别扭，不自然，奇怪,2022-04-26 13:42:44,2022-04-26 13:46:34,03分50秒
24,第1位:H|第10位:G|第11位:K|第12位:O|第13位:M|第14位:N|第15位:D|第2位:I|第3位:C|第4位:E|第5位:F|第6位:J|第7位:A|第8位:B|第9位:L,行云流水，一气呵成,比较古板，虚弱无力,2022-04-26 13:43:59,2022-04-26 13:46:58,02分59秒
25,第1位:K|第10位:D|第11位:J|第12位:E|第13位:G|第14位:I|第15位:N|第2位:H|第3位:C|第4位:L|第5位:O|第6位:M|第7位:F|第8位:A|第9位:B,我感觉最喜欢的“一”给我一种非常美丽，非常温柔的感觉，整体写的非常优美，给人一种很舒服的感觉,最不喜欢的感觉看起来非常凶，这个“一”的后半部分是飘出去的，整体没有给我很好的感觉,2022-04-26 13:39:46,2022-04-26 13:49:00,09分14秒
26,第1位:I|第10位:H|第11位:C|第12位:K|第13位:G|第14位:D|第15位:N|第2位:O|第3位:F|第4位:E|第5位:L|第6位:M|第7位:B|第8位:J|第9位:A,两边有力,末尾太淡,2022-04-26 13:45:57,2022-04-26 13:49:30,03分33秒
27,第1位:I|第10位:K|第11位:L|第12位:E|第13位:J|第14位:D|第15位:N|第2位:A|第3位:O|第4位:B|第5位:F|第6位:C|第7位:M|第8位:H|第9位:G,看起来很有感觉,写的后半段不明白,2022-04-26 13:50:05,2022-04-26 13:52:43,02分38秒
28,第1位:L|第10位:O|第11位:N|第12位:J|第13位:K|第14位:I|第15位:G|第2位:C|第3位:A|第4位:M|第5位:F|第6位:H|第7位:B|第8位:D|第9位:E,苗条 干练,不喜欢勾,2022-04-26 13:53:36,2022-04-26 13:55:26,01分50秒
29,第1位:J|第10位:G|第11位:E|第12位:N|第13位:K|第14位:C|第15位:D|第2位:F|第3位:L|第4位:O|第5位:H|第6位:M|第7位:A|第8位:I|第9位:B,喜欢是一种感觉，我描述不出来，一见钟情罢了,讨厌也是一种感觉，看到就很不爽,2022-04-26 14:18:14,2022-04-26 14:25:38,07分24秒
30,第1位:F|第10位:O|第11位:G|第12位:A|第13位:E|第14位:I|第15位:N|第2位:M|第3位:D|第4位:C|第5位:H|第6位:J|第7位:B|第8位:L|第9位:K,笔画规整有力，粗细适中,笔画粗细变化大，欣赏不来,2022-04-26 14:32:03,2022-04-26 14:35:46,03分43秒
31,第1位:I|第10位:N|第11位:A|第12位:D|第13位:M|第14位:B|第15位:E|第2位:F|第3位:O|第4位:H|第5位:K|第6位:C|第7位:J|第8位:G|第9位:L,潇洒俊逸,和我合不来,2022-04-26 14:36:02,2022-04-26 14:40:43,04分41秒
32,第1位:L|第10位:G|第11位:A|第12位:J|第13位:E|第14位:D|第15位:M|第2位:H|第3位:C|第4位:B|第5位:I|第6位:N|第7位:F|第8位:K|第9位:O,平衡，流畅,笨重,2022-04-26 14:39:38,2022-04-26 14:43:24,03分46秒
